date,trend_label,sector,rsi_grps,r_1,ema_26_dist_lag1,volume_lag1,volume_sma_20_lag1,volume_ratio_lag1,bb_width_lag1,volatility_20_lag1,macd_histogram_lag1,month_sin,month_cos,bull_bear,bull_bear_lag1,macd_buy_sell
2021-01-07,Downtrend,Technology,Overbought,-0.0035787043808904735,0.008678798253925852,1449177.0,1241502.0,1.16727721743501,4.672700860672876,0.0124628610506278,0.188720286361322,0.49999999999999994,0.8660254037844387,1,0.0,1.0
2021-01-08,Downtrend,Technology,Overbought,0.03217549867988038,0.03845660958446936,1534833.0,1314834.75,1.1673200757737807,11.933013031083078,0.0181379112108743,0.5439522468078776,0.49999999999999994,0.8660254037844387,0,1.0,1.0
2021-01-11,Downtrend,Technology,Neutral,-0.008354669182358174,0.027547296359899075,848261.0,1221520.0,0.694430709280241,11.523436987288108,0.0186625853193953,0.6473861503279873,0.49999999999999994,0.8660254037844387,0,0.0,1.0
2021-01-12,Downtrend,Technology,Overbought,-0.00818161589413015,0.01772907504545539,1132210.0,1206635.0,0.9383202045357544,10.418161066138282,0.0178351281834585,0.5886529163300663,0.49999999999999994,0.8660254037844387,1,0.0,1.0
2021-01-13,Sideways,Technology,Neutral,0.0059458978717220855,0.021996791703834125,926947.0,1166679.5714285714,0.7945172116667608,9.873624316473467,0.0159542404977538,0.5787088530401694,0.49999999999999994,0.8660254037844387,0,1.0,1.0
2021-01-14,Sideways,Technology,Neutral,-0.033962045913623694,-0.011241146559924928,1244361.0,1176389.75,1.057779532676139,10.761666095120065,0.0206783641111159,0.1837323716245581,0.49999999999999994,0.8660254037844387,0,0.0,1.0
2021-01-15,Sideways,Technology,Neutral,-0.019399679515011842,-0.02806089858914595,1292705.0,1189313.6666666667,1.0869336124111917,13.356493219071808,0.0203017274301191,-0.2759351372181752,0.49999999999999994,0.8660254037844387,1,0.0,0.0
2021-01-18,Downtrend,Technology,Neutral,-0.017183548593608343,-0.041451434341945086,1264503.0,1196832.6,1.0565412406045758,16.57647060679011,0.0195996984361441,-0.7258972208798966,0.49999999999999994,0.8660254037844387,1,1.0,0.0
2021-01-19,Downtrend,Technology,Neutral,0.029990418620052455,-0.011370285472664748,1191032.0,1196305.2727272727,0.9955920342010606,16.131285920674316,0.0214674049254356,-0.6748359038126035,0.49999999999999994,0.8660254037844387,1,1.0,0.0
2021-01-20,Downtrend,Technology,Neutral,0.002453834559362973,-0.00828453598765754,918159.0,1173126.4166666667,0.7826598966280772,15.61195307409929,0.0203873309200005,-0.5852974111060094,0.49999999999999994,0.8660254037844387,0,1.0,0.0
2021-01-21,Sideways,Technology,Neutral,-0.009851674248138376,-0.01669506979064412,1019493.0,1161308.4615384615,0.8778830377670811,15.496529967242338,0.0196283934351782,-0.5994463591295223,0.49999999999999994,0.8660254037844387,0,0.0,0.0
2021-01-22,Sideways,Technology,Neutral,-0.022203170826667867,-0.035551721510376756,1589113.0,1191865.9285714286,1.3332984540507102,16.59784733824648,0.0196585005283755,-0.7977301767532646,0.49999999999999994,0.8660254037844387,0,0.0,0.0
2021-01-25,Sideways,Technology,Neutral,-0.010961158873536025,-0.04279925095764283,1111265.0,1186492.5333333334,0.936596707337054,18.02693138717996,0.0190123200670977,-0.985618167956422,0.49999999999999994,0.8660254037844387,0,0.0,0.0
2021-01-26,Sideways,Technology,Neutral,-0.010949977482923033,-0.04947598496341272,1525758.0,1207696.625,1.2633619804973786,19.68482444253266,0.0184242192599449,-1.1536180811395675,0.49999999999999994,0.8660254037844387,1,0.0,0.0
2021-01-27,Downtrend,Technology,Oversold,0.0007955977347326544,-0.04527398815069078,862805.0,1187408.8823529412,0.7266283862474451,20.76016264245476,0.0178371991146748,-1.184120928704759,0.49999999999999994,0.8660254037844387,1,1.0,0.0
2021-01-28,Downtrend,Technology,Neutral,0.01741002487419249,-0.026450898402758195,1168500.0,1186358.388888889,0.9849468853121064,20.75843358025554,0.0180139826619016,-0.9626867290503138,0.49999999999999994,0.8660254037844387,1,1.0,0.0
2021-01-29,Sideways,Technology,Oversold,0.005261631548415919,-0.01976726748313852,1156349.0,1184778.9473684211,0.9760040069655452,20.54305101559254,0.0175673357071278,-0.7101815593162843,0.49999999999999994,0.8660254037844387,0,1.0,0.0
2021-02-01,Downtrend,Technology,Neutral,-0.025791369549911274,-0.041550224809075026,1601397.0,1205609.85,1.3282879200099431,21.217136569540287,0.0179084984481139,-0.7523155247906528,0.8660254037844386,0.5000000000000001,1,0.0,0.0
2021-02-02,Downtrend,Technology,Neutral,0.01576393821890884,-0.024419431404616446,1467983.0,1230876.8,1.1926319514674415,21.594778608679743,0.0179420747242706,-0.5718725454253955,0.8660254037844386,0.5000000000000001,1,1.0,0.0
2021-02-03,Sideways,Technology,Neutral,-0.0012441477556787283,-0.023778892526719796,1417942.0,1236139.65,1.1470726628662062,21.541157570420467,0.0175352003337271,-0.424727927653489,0.8660254037844386,0.5000000000000001,0,1.0,0.0
2021-02-04,Sideways,Technology,Neutral,-0.028848793578955628,-0.04790449818630617,1476629.0,1237512.25,1.193223743845768,22.439654655378035,0.0184402533392418,-0.5700429058229219,0.8660254037844386,0.5000000000000001,0,0.0,0.0
2021-02-05,Sideways,Technology,Oversold,-0.008193714370309198,-0.0517633077765812,1000828.0,1210812.0,0.8265758846129705,21.567451012066613,0.0162750433528957,-0.6899997107277316,0.8660254037844386,0.5000000000000001,1,0.0,0.0
2021-02-08,Sideways,Technology,Neutral,0.007923918064882114,-0.04107873067702983,906474.0,1213722.65,0.7468543163464899,20.184722831623787,0.0165692161567777,-0.6343154811680267,0.8660254037844386,0.5000000000000001,1,1.0,0.0
2021-02-09,Sideways,Technology,Neutral,0.007593867345096597,-0.03134608609068959,1101534.0,1212188.85,0.9087148425758906,18.44623698610013,0.0168058865602309,-0.4725688865279007,0.8660254037844386,0.5000000000000001,0,1.0,0.0
2021-02-10,Downtrend,Technology,Neutral,-0.012530479230243464,-0.040322296192454865,982308.0,1214956.9,0.8085126311888101,15.779504228086807,0.0166992801169939,-0.4425612147210289,0.8660254037844386,0.5000000000000001,1,0.0,0.0
2021-02-11,Sideways,Technology,Neutral,0.021461490339627343,-0.0180849990324167,1580696.0,1231773.65,1.283268236822569,14.48782734065503,0.0164051942226615,-0.1727719338337272,0.8660254037844386,0.5000000000000001,0,1.0,0.0
2021-02-12,Sideways,Technology,Neutral,-0.015783113694754217,-0.03105940516292261,881823.0,1211229.55,0.7280395363537819,14.352064073083511,0.0162363771734776,-0.1212674142671383,0.8660254037844386,0.5000000000000001,0,0.0,0.0
2021-02-15,Sideways,Technology,Neutral,0.0077220460939103185,-0.02184202319770397,1363528.0,1216180.8,1.121155670275341,14.394516353550443,0.0160222876570438,0.0149968867263048,0.8660254037844386,0.5000000000000001,0,0.0,1.0
2021-02-16,Uptrend,Technology,Neutral,-0.008531271304972823,-0.02798051028689989,1498091.0,1231533.75,1.2164433171238709,13.156281669545535,0.0142161418808022,0.0427708494469785,0.8660254037844386,0.5000000000000001,0,0.0,1.0
2021-02-17,Downtrend,Technology,Neutral,-0.02127304602276662,-0.04501330763852688,1065396.0,1238895.6,0.8599562384433361,12.055334874957566,0.0146772932176374,-0.1170709485549443,0.8660254037844386,0.5000000000000001,1,0.0,0.0
2021-02-18,Downtrend,Technology,Neutral,0.017217068042994877,-0.026378585107028524,1442868.0,1260064.35,1.1450748527247834,10.37248262420684,0.0153999852825252,-0.025929047174797,0.8660254037844386,0.5000000000000001,0,1.0,0.0
2021-02-19,Downtrend,Technology,Neutral,-0.0003387419157757926,-0.024778962986897114,919002.0,1226558.8,0.7492522983814555,9.877578863796828,0.0147547673444249,0.053794467072568,0.8660254037844386,0.5000000000000001,1,0.0,1.0
2021-02-22,Downtrend,Technology,Neutral,0.008299922811738232,-0.015436650501980866,1164114.0,1229201.25,0.9470491508205025,9.583085757290178,0.0147749548830291,0.2037459203369884,0.8660254037844386,0.5000000000000001,0,1.0,1.0
2021-02-24,Sideways,Technology,Neutral,0.00039978678570856723,-0.005838993078174556,1360499.0,1224009.1,1.1115105271684662,9.463071494248709,0.0147284758114852,0.5131223524793249,0.8660254037844386,0.5000000000000001,0,0.0,1.0
2021-02-25,Uptrend,Technology,Neutral,-0.05265813744074849,-0.052847669280678994,1632984.0,1247233.3,1.3092851193116797,10.63918160683221,0.0180437225685131,0.0937645138713234,0.8660254037844386,0.5000000000000001,1,0.0,1.0
2021-02-26,Uptrend,Technology,Neutral,0.0028048542335055294,-0.04664313643895545,1036290.0,1241230.35,0.8348893499099501,10.720619777841703,0.0179882181709498,-0.1268990616483711,0.8660254037844386,0.5000000000000001,1,1.0,0.0
2021-03-01,Uptrend,Technology,Neutral,0.0029366543269319163,-0.040724229520370206,1141534.0,1218237.2,0.9370375490093392,11.4715888864161,0.017289156269297,-0.2098917912469442,1.0,6.123233995736766e-17,0,1.0,0.0
2021-03-02,Sideways,Technology,Neutral,-0.0032868311698141767,-0.040754694761084065,1359184.0,1212797.25,1.1207017496123115,11.46070191659527,0.0167506045756614,-0.2585638206738605,1.0,6.123233995736766e-17,1,0.0,0.0
2021-03-03,Sideways,Technology,Neutral,0.030219615882158657,-0.010494192652607945,975345.0,1190667.4,0.8191582300817173,10.406366472400066,0.0183934254955592,0.0269321568387086,1.0,6.123233995736766e-17,0,1.0,1.0
2021-03-04,Sideways,Technology,Neutral,-0.015202648477241912,-0.023584722110265233,949790.0,1164325.45,0.8157427117993513,10.557799611262569,0.0175956859335294,0.0856540312600584,1.0,6.123233995736766e-17,1,0.0,1.0
2021-03-05,Sideways,Technology,Neutral,0.019204417306640267,-0.004308912406662675,929978.0,1160782.95,0.8011644209625925,10.573922241956607,0.0180771711043423,0.3199676196574126,1.0,6.123233995736766e-17,0,1.0,1.0
2021-03-08,Downtrend,Technology,Neutral,-0.009521938229181431,-0.012739661486264365,1356469.0,1183282.7,1.1463608823149365,10.53998481972326,0.0181129588400052,0.3826539515091394,1.0,6.123233995736766e-17,0,0.0,1.0
2021-03-09,Downtrend,Technology,Neutral,0.0030023905187722484,-0.009053836524118957,1413989.0,1198905.45,1.1793999268249218,10.304594580752848,0.018033369869322,0.4510338784966836,1.0,6.123233995736766e-17,0,0.0,1.0
2021-03-10,Downtrend,Technology,Neutral,-0.013029947069547174,-0.02029405706779966,1291538.0,1214366.95,1.0635483780252748,10.4393093137125,0.0180505820253533,0.3690365210697419,1.0,6.123233995736766e-17,1,0.0,1.0
2021-03-11,Sideways,Technology,Neutral,-0.0067181746602381215,-0.02491421903471377,1277864.0,1199225.35,1.0655745394308085,10.034421599778511,0.0172934631477727,0.2555933505049528,1.0,6.123233995736766e-17,1,1.0,1.0
2021-03-12,Sideways,Technology,Neutral,0.006994246164510477,-0.016754206776446106,1520309.0,1231149.65,1.2348693759527936,9.946272509945686,0.0171045885786477,0.2541638573409164,1.0,6.123233995736766e-17,1,1.0,1.0
2021-03-15,Sideways,Technology,Neutral,0.0011724543568690127,-0.014461823219752144,1161795.0,1221063.0,0.9514619638790136,9.502069802222591,0.0169896525426024,0.2688311750501184,1.0,6.123233995736766e-17,0,1.0,1.0
2021-03-16,Sideways,Technology,Neutral,-0.027603862988786133,-0.038352906718589624,1498373.0,1221077.1,1.2270912295382497,10.20678329657062,0.0178957688860186,0.0292772813810484,1.0,6.123233995736766e-17,1,0.0,1.0
2021-03-17,Sideways,Technology,Neutral,-0.005755922802042673,-0.04075482769007335,1090712.0,1222342.9,0.8923126235690493,11.269561986537669,0.0173712336558045,-0.1567389960054415,1.0,6.123233995736766e-17,0,1.0,0.0
2021-03-18,Downtrend,Technology,Neutral,-0.0021402590748212475,-0.03976094901913023,1387685.0,1219583.75,1.13783493753504,12.044299984027989,0.0167923125746793,-0.2665434036401484,1.0,6.123233995736766e-17,1,0.0,0.0
2021-03-19,Sideways,Technology,Neutral,0.038115865177343014,-0.00227275814384224,1009592.0,1224113.25,0.8247537554225477,11.815490991423644,0.0191760340361427,0.0440973373541804,1.0,6.123233995736766e-17,1,1.0,1.0
2021-03-22,Uptrend,Technology,Neutral,0.006236527769460795,0.003673955814597687,1005644.0,1216189.75,0.8268808382902422,11.3338795327615,0.019130945276401,0.3127861273348626,1.0,6.123233995736766e-17,0,1.0,1.0
2021-03-23,Uptrend,Technology,Neutral,-0.03801627378884214,-0.03134304129337805,1047860.0,1222371.7,0.857235160139915,10.710647137556805,0.0206631488262867,0.1338637154337356,1.0,6.123233995736766e-17,0,0.0,1.0
2021-03-24,Uptrend,Technology,Neutral,0.002339182353172241,-0.026978959126735792,1288633.0,1218778.4,1.0573152592792916,9.578392129656322,0.0206841883403316,0.0529658533691663,1.0,6.123233995736766e-17,0,0.0,1.0
2021-03-25,Uptrend,Technology,Neutral,-0.0027650767378042083,-0.027528753272148297,1396501.0,1206954.25,1.157045513531271,9.881699193324836,0.0172638345826851,-0.0083207581445943,1.0,6.123233995736766e-17,1,0.0,0.0
2021-03-26,Uptrend,Technology,Neutral,0.00042589438463192436,-0.025156540343620887,1030303.0,1206654.9,0.8538505914159882,10.189405230304487,0.017248672693278,-0.0253657588904068,1.0,6.123233995736766e-17,1,1.0,0.0
2021-03-29,Sideways,Technology,Neutral,0.023634467328324946,-0.0017059816789112177,1248620.0,1212009.2,1.0302067014012766,10.18821197060032,0.0180879603281009,0.1975068329272593,1.0,6.123233995736766e-17,1,1.0,1.0
2021-03-30,Downtrend,Technology,Neutral,0.016770152472816494,0.014036746121636606,1441529.0,1216126.45,1.1853446654334343,10.461454865109602,0.0184250161568054,0.4992711888708181,1.0,6.123233995736766e-17,1,1.0,1.0
2021-03-31,Downtrend,Technology,Neutral,0.02875382830676957,0.04025643970860069,1140630.0,1224390.7,0.9315898920173112,11.908842535120924,0.0183019884828532,0.950950949393368,1.0,6.123233995736766e-17,0,1.0,1.0
2021-04-01,Downtrend,Technology,Neutral,0.012765850801154622,0.04945294922250741,1287574.0,1241279.9,1.0372954560852876,14.254517141852205,0.0180371476085243,1.321416238845434,0.8660254037844387,-0.4999999999999998,0,0.0,1.0
2021-04-02,Downtrend,Technology,Neutral,-0.01887720235816443,0.027557656358548004,1516951.0,1270628.55,1.1938587402274252,14.83404604635075,0.0182090566069087,1.3122209073501756,0.8660254037844387,-0.4999999999999998,1,0.0,1.0
2021-04-05,Downtrend,Technology,Neutral,0.0030603443484713364,0.028368023462652246,1408148.0,1273212.5,1.1059803449934713,15.676538285972754,0.0180464284397535,1.2744275153569635,0.8660254037844387,-0.4999999999999998,0,1.0,1.0
2021-04-06,Downtrend,Technology,Neutral,-0.030348272818949758,-0.002197008200076252,1279011.0,1266463.6,1.009907430422793,15.617282060184436,0.0193604994241148,0.9012503145057748,0.8660254037844387,-0.4999999999999998,0,0.0,1.0
2021-04-07,Sideways,Technology,Neutral,-0.020336870225030904,-0.020667680670899184,1215299.0,1262651.65,0.9624974552561668,15.698125935751932,0.0196761113281769,0.434925029025818,0.8660254037844387,-0.4999999999999998,0,0.0,1.0
2021-04-08,Downtrend,Technology,Neutral,-0.017482469791389857,-0.034949329864754373,896209.0,1243568.9,0.7206749863236368,16.123102222064745,0.0199954513822659,-0.0369732860516605,0.8660254037844387,-0.4999999999999998,0,0.0,0.0
2021-04-09,Downtrend,Technology,Neutral,-0.014613440571780042,-0.045488543833539515,949644.0,1215035.65,0.781577067306626,16.99946488321848,0.0201221889558335,-0.4594629369843335,0.8660254037844387,-0.4999999999999998,1,0.0,0.0
2021-04-12,Downtrend,Technology,Neutral,0.017170260146494164,-0.026870435450537772,1252813.0,1219586.55,1.0272440279043746,17.236858793081183,0.0205765476427905,-0.5444389524793987,0.8660254037844387,-0.4999999999999998,0,1.0,0.0
2021-04-13,Sideways,Technology,Neutral,0.0056585240811419,-0.019798298668805895,993654.0,1194350.6,0.8319617371984407,17.15199715239538,0.0196847650605559,-0.5142807524663132,0.8660254037844387,-0.4999999999999998,0,0.0,0.0
